data;dia_semana;Hor rio;tipo_exercicio;clima
01/10/2025;Quarta-feira;07:00;Caminhada;Ensolarado
03/10/2025;Sexta-feira;07:00;Gin stica;Ensolarado
06/10/2025;Segunda-feira;07:00;Alongamento;Ensolarado
08/10/2025;Quarta-feira;07:00;Jogo com bola;Nublado
10/10/2025;Sexta-feira;07:00;Gin stica;Nublado
13/10/2025;Segunda-feira;07:00;Alongamento;Ensolarado
15/10/2025;Quarta-feira;07:00;Caminhada;Ensolarado
17/10/2025;Sexta-feira;07:00;Jogo com bola;Nublado
20/10/2025;Segunda-feira;07:00;Caminhada;Frio
22/10/2025;Quarta-feira;07:00;Alongamento;Frio
24/10/2025;Sexta-feira;07:00;Gin stica;Nublado
27/10/2025;Segunda-feira;07:00;Jogo com bola;Ensolarado
29/10/2025;Quarta-feira;07:00;Caminhada;Ensolarado
31/10/2025;Sexta-feira;07:00;Alongamento;Frio
