Data,Tipo Exercício,Clima,Prob. Presença Média (%),Prob. Falta Média (%),Total Alunas
2025-10-01,Caminhada,Ensolarado,62.725,37.275,20
2025-10-03,Gin stica,Ensolarado,68.615,31.385,20
2025-10-06,Alongamento,Ensolarado,61.30499999999999,38.695,20
2025-10-08,Jogo com bola,Nublado,61.04,38.96,20
2025-10-10,Gin stica,Nublado,67.97,32.03,20
2025-10-13,Alongamento,Ensolarado,61.30499999999999,38.695,20
2025-10-15,Caminhada,Ensolarado,62.725,37.275,20
2025-10-17,Jogo com bola,Nublado,68.35,31.65,20
2025-10-20,Caminhada,Frio,59.345000000000006,40.655,20
2025-10-22,Alongamento,Frio,53.625,46.375,20
2025-10-24,Gin stica,Nublado,67.97,32.03,20
2025-10-27,Jogo com bola,Ensolarado,68.82000000000001,31.18,20
2025-10-29,Caminhada,Ensolarado,62.725,37.275,20
2025-10-31,Alongamento,Frio,48.55,51.45,20
